mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.7882994016011557,0.016468222414933002,0.017373959223429363,7.746325263806089e-05,1.0,0.5,0.1,350,3,5,0.1,0.9,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.5688535909423507,0.5709475322207931,0.5493429215636306,0.5630480149089249,0.009728594801642256,11,0.9073077376251055,0.9050198515941027,0.9052247901101558,0.905850793109788,0.0010336070947176126
3.767266035079956,0.23297131557906295,0.026063203811645508,0.0016961598520729483,1.0,1.0,0.1,350,3,6,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.5706853471715322,0.5653700125017072,0.5396908967360272,0.5585820854697555,0.013533192638671,12,0.963106318137468,0.9635191825189192,0.9628155242281119,0.963147008294833,0.000288704594392793
3.5408891836802163,0.010261580300524464,0.019814252853393555,0.0006307098432308481,0.9,0.5,0.05,550,5,4,0.03,0.8,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.05, 'n_estimators': 550, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5547899540241941,0.5670710636500429,0.5538191638486106,0.5585600605076159,0.00603122371546905,13,0.6943822206162906,0.6973190412236537,0.7013632337091052,0.6976881651830165,0.002861913733098194
4.242236693700154,0.04466108313647156,0.030657609303792317,0.0008218593634474398,0.7,1.0,0.3,350,1,7,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.3, 'n_estimators': 350, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.5610889570425379,0.5718618744714333,0.5386997273965691,0.5572168529701801,0.013812479673930345,14,0.9996968335694054,0.9994795633919917,0.9997397094696131,0.99963870214367,0.00011388134883571593
2.2616689205169678,0.0005163975073195696,0.013006766637166342,0.0002823277563377836,0.7,5.0,0.05,350,1,4,0.03,0.7,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.05, 'n_estimators': 350, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.5488414468080048,0.5602492748498233,0.5511033238805949,0.5533980151794744,0.00493179083604796,15,0.6447040228147528,0.6485465863179141,0.6530228043132482,0.6487578044819717,0.0033994108547951156
1.9240131378173828,0.08548042975487398,0.011747519175211588,0.00039907767928234344,0.8,0.5,0.0,250,1,4,0.03,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.5406303400711998,0.5576398013218318,0.547444542092454,0.5485715611618285,0.006989662461866475,16,0.6318275378444324,0.6327514112178008,0.6372866958044765,0.6339552149555698,0.0023857156840213943
1.6972583929697673,0.016017572536296605,0.014707088470458984,0.006495713999477474,1.0,1.0,0.0,350,5,3,0.08,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 350, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",0.5470024304319746,0.5521983261932206,0.5448162230642181,0.5480056598964711,0.003096095785623434,17,0.665120797347248,0.6687093892142464,0.6735125232542281,0.6691142366052408,0.003437847386758766
2.242960294087728,0.007754718774661938,0.015254020690917969,0.001878504367393484,1.0,1.0,0.05,350,3,4,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.537527905864996,0.5515346177536298,0.5504649722752618,0.5465091652979625,0.0063657050467870934,18,0.6382974918078128,0.6391738810846641,0.6426130229780576,0.6400281319568448,0.0018624823461900937
2.4377158482869468,0.056742925196310814,0.014549334843953451,0.002217788421560117,1.0,1.0,0.05,450,5,3,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 450, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5367063449058846,0.5506104271429434,0.5427161128347463,0.5433442949611914,0.005693671065414767,19,0.6041266257428953,0.6070763605026446,0.6028024644116199,0.6046684835523867,0.0017863844982718645
2.16172194480896,0.005467368947122545,0.011499245961507162,5.457106788744395e-05,1.0,0.5,0.3,450,3,3,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.3, 'n_estimators': 450, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.5337883287287654,0.549310641646057,0.545371881592149,0.5428236173223238,0.006588160475035541,20,0.6071388490565075,0.6079981927881973,0.6070980236497147,0.6074116884981399,0.0004150559320957773
